TYPE;SOUSTYPE;ADRESSE;CODE_POSTAL;VILLE;ARRONDISSEMENT;DATEDECL;ANNEE DECLARATION;MOIS DECLARATION;NUMERO;PREFIXE;INTERVENANT;CONSEIL DE QUARTIER;OBJECTID;geo_shape;geo_point_2d
Propreté;Malpropreté des mobiliers de collecte des déchets:Corbeille de rue débordante;9 rue victor gelez ,75011 PARIS;75011;Paris 11;11.0;2012-11-29T02:00:00+01:00;2012;11;5238.0;S;DPE;BELLEVILLE - SAINT-MAUR;180437;"{""type"": ""Point"", ""coordinates"": [2.3833179966152143, 48.864505998041594]}";48.864505998, 2.38331799662
Propreté;Malpropreté du sol:Déchets divers épars;6 place de la porte de saint-cloud ,75016 PARIS;75016;Paris 16;16.0;2012-11-30T02:00:00+01:00;2012;11;5337.0;S;DPE;AUTEUIL SUD;180439;"{""type"": ""Point"", ""coordinates"": [2.257278005039359, 48.838157994724085]}";48.8381579947, 2.25727800504
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;48 rue de l'assomption ,75016 PARIS;75016;Paris 16;16.0;2012-11-09T02:00:00+01:00;2012;11;1270.0;S;graffitis;MUETTE SUD;180440;"{""type"": ""Point"", ""coordinates"": [2.270713993773734, 48.85448499798554]}";48.854484998, 2.27071399377
Graffitis, tags, affiches et autocollants;Graffitis sur autres supports:Graffitis sur arbre;38 rue des artistes ,75014 PARIS;75014;Paris 14;14.0;2012-11-14T02:00:00+01:00;2012;11;1930.0;S;DEVE-SAB;MONTSOURIS - DAREAU;486765;"{""type"": ""Point"", ""coordinates"": [2.334509001350087, 48.82593500147376]}";48.8259350015, 2.33450900135
Objets abandonnés;Meubles et éléments de décoration;16 rue de l'armée d'orient ,75018 PARIS;75018;Paris 18;18.0;2012-11-08T02:00:00+01:00;2012;11;1043.0;S;Ramen en tant que prestataire de DansMaRue;MONTMARTRE;486802;"{""type"": ""Point"", ""coordinates"": [2.335080995592868, 48.88717999722415]}";48.8871799972, 2.33508099559
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;9 rue caulaincourt ,75018 PARIS;75018;Paris 18;18.0;2012-09-20T04:00:00+02:00;2012;9;517.0;S;graffitis;GRANDES CARRIERES - CLICHY;486850;"{""type"": ""Point"", ""coordinates"": [2.330560997695634, 48.885370002774]}";48.8853700028, 2.3305609977
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;20 rue du grenier saint-lazare ,75003 PARIS;75003;Paris 3;3.0;2012-11-22T02:00:00+01:00;2012;11;3424.0;S;graffitis;REAUMUR;486855;"{""type"": ""Point"", ""coordinates"": [2.353408001932067, 48.86307500244917]}";48.8630750024, 2.35340800193
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;21-27 rue piat, 75020 PARIS;75020;Paris 20;20.0;2012-11-29T02:00:00+01:00;2012;11;5199.0;S;graffitis;BELLEVILLE;486862;"{""type"": ""Point"", ""coordinates"": [2.38530547688367, 48.87160812083256]}";48.8716081208, 2.38530547688
Graffitis, tags, affiches et autocollants;... sur corbeille à déchets et mobilier urbain;17 rue du moulin de la pointe,75013 PARIS;75013;Paris 13;13.0;2012-12-18T02:00:00+01:00;2012;12;2446.0;S;DPE;OLYMPIADES - CHOISY;505186;"{""type"": ""Point"", ""coordinates"": [2.358439996973614, 48.82463999910459]}";48.8246399991, 2.35843999697
Objets abandonnés;Meubles et éléments de décoration;42 rue de maubeuge ,75009 PARIS;75009;Paris 9;9.0;2012-12-03T02:00:00+01:00;2012;12;207.0;S;Ramen en tant que prestataire de DansMaRue;LORETTE - MARTYRS;16983;"{""type"": ""Point"", ""coordinates"": [2.344411000424265, 48.87821599750781]}";48.8782159975, 2.34441100042
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;62 rue du faubourg poissonnière ,75010 PARIS;75010;Paris 10;10.0;2012-11-15T02:00:00+01:00;2012;11;2386.0;S;graffitis;PORTE SAINT-DENIS - PARADIS;16986;"{""type"": ""Point"", ""coordinates"": [2.348002998270742, 48.87436699671715]}";48.8743669967, 2.34800299827
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;1 rue gabrielle ,75018 PARIS;75018;Paris 18;18.0;2012-12-17T02:00:00+01:00;2012;12;2184.0;S;graffitis;MONTMARTRE;16997;"{""type"": ""Point"", ""coordinates"": [2.342205993856657, 48.88537000107402]}";48.8853700011, 2.34220599386
Objets abandonnés;Planches et palettes;12-16 rue de budapest ,75009 PARIS;75009;Paris 9;9.0;2012-12-17T02:00:00+01:00;2012;12;2237.0;S;Ramen en tant que prestataire de DansMaRue;CLICHY - TRINITE;16998;"{""type"": ""Point"", ""coordinates"": [2.327395005152777, 48.876945001311675]}";48.8769450013, 2.32739500515
Propreté;Malpropreté des mobiliers de collecte des déchets:Corbeille de rue débordante;21 rue pinel ,75013 PARIS;75013;Paris 13;13.0;2012-12-17T02:00:00+01:00;2012;12;2351.0;S;DPE;SALPETRIERE - AUSTERLITZ;17000;"{""type"": ""Point"", ""coordinates"": [2.359448998658354, 48.83392699527291]}";48.8339269953, 2.35944899866
Graffitis, tags, affiches et autocollants;Affiches ou autocollants sur immeuble, mur ou commerce;1 place jussieu ,75005 PARIS;75005;Paris 5;5.0;2012-12-18T02:00:00+01:00;2012;12;2502.0;S;DPE;SAINT-VICTOR;17009;"{""type"": ""Point"", ""coordinates"": [2.355179994324662, 48.846138000988894]}";48.846138001, 2.35517999432
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;45-59 rue michel-ange ,75016 PARIS;75016;Paris 16;16.0;2012-11-22T02:00:00+01:00;2012;11;3486.0;S;graffitis;AUTEUIL SUD;17018;"{""type"": ""Point"", ""coordinates"": [2.260610000197485, 48.84375000094603]}";48.8437500009, 2.2606100002
Objets abandonnés;Meubles et éléments de décoration;80 rue quincampoix ,75003 PARIS;75003;Paris 3;3.0;2012-12-29T02:00:00+01:00;2012;12;3390.0;S;Ramen en tant que prestataire de DansMaRue;RAMBUTEAU - FRANCS-BOURGEOIS;17031;"{""type"": ""Point"", ""coordinates"": [2.35133599784132, 48.862732003126744]}";48.8627320031, 2.35133599784
Propreté;Malpropreté du sol:Autre;13 rue gazan ,75014 PARIS;75014;Paris 14;14.0;2012-11-14T02:00:00+01:00;2012;11;2120.0;S;DPE;MONTSOURIS - DAREAU;17032;"{""type"": ""Point"", ""coordinates"": [2.3410090012603693, 48.82166299980636]}";48.8216629998, 2.34100900126
Objets abandonnés;Planches et palettes;60 avenue claude vellefaux ,75010 PARIS;75010;Paris 10;10.0;2012-12-27T02:00:00+01:00;2012;12;3271.0;S;Ramen en tant que prestataire de DansMaRue;FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS;17037;"{""type"": ""Point"", ""coordinates"": [2.370312005906998, 48.876427002850996]}";48.8764270029, 2.37031200591
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de collecte des déchets:Corbeille de rue;41 avenue de l'opéra, 75002 PARIS;75002;Paris 2;2.0;2012-11-21T02:00:00+01:00;2012;11;3163.0;S;DPE;GAILLON - VIVIENNE;487329;"{""type"": ""Point"", ""coordinates"": [2.333032007858692, 48.868958000951594]}";48.868958001, 2.33303200786
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Autres mobiliers:Banc;4 rue de ventadour ,75001 PARIS;75001;Paris 1;1.0;2012-11-21T02:00:00+01:00;2012;11;3169.0;S;DVD;PALAIS ROYAL;487570;"{""type"": ""Point"", ""coordinates"": [2.3343209963560803, 48.866787002274506]}";48.8667870023, 2.33432099636
Propreté;Malpropreté du sol:Déchets divers épars;8 rue nanteuil, 75015 PARIS;75015;Paris 15;15.0;2012-07-12T04:00:00+02:00;2012;7;9.0;S;DPE;ALLERAY - PROCESSION;159722;"{""type"": ""Point"", ""coordinates"": [2.306847740584784, 48.8348591565805]}";48.8348591566, 2.30684774058
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;62-78 avenue pierre mendès-france ,75013 PARIS;75013;Paris 13;13.0;2012-07-19T04:00:00+02:00;2012;7;55.0;S;DVD;SALPETRIERE - AUSTERLITZ;159723;"{""type"": ""Point"", ""coordinates"": [2.367936002263318, 48.84152999498839]}";48.841529995, 2.36793600226
Problème sur un chantier;Chantier de voirie sans barrière ou information et présentant un danger;56 boulevard berthier, 75017 PARIS;75017;Paris 17;17.0;2012-07-25T04:00:00+02:00;2012;7;204.0;S;DVD;PEREIRE - MALESHERBES;159726;"{""type"": ""Point"", ""coordinates"": [2.306733696273576, 48.891688798117784]}";48.8916887981, 2.30673369627
Objets abandonnés;Meubles et éléments de décoration;107 rue jeanne d'arc ,75013 PARIS;75013;Paris 13;13.0;2012-07-25T04:00:00+02:00;2012;7;224.0;S;Ramen en tant que prestataire de DansMaRue;SALPETRIERE - AUSTERLITZ;159728;"{""type"": ""Point"", ""coordinates"": [2.362310993799681, 48.83416999937821]}";48.8341699994, 2.3623109938
Propreté;Malpropreté du sol:Autre;61 rue nollet ,75017 PARIS;75017;Paris 17;17.0;2012-07-31T04:00:00+02:00;2012;7;370.0;S;DPE;BATIGNOLLES - CARDINET;159732;"{""type"": ""Point"", ""coordinates"": [2.320887001802816, 48.887260000029514]}";48.88726, 2.3208870018
Objets abandonnés;Objets entrant dans plusieurs catégories;79 rue pouchet, 75017 PARIS;75017;Paris 17;17.0;2012-08-06T04:00:00+02:00;2012;8;85.0;S;Ramen en tant que prestataire de DansMaRue;EPINETTES - BESSIERES;159734;"{""type"": ""Point"", ""coordinates"": [2.322220703540687, 48.89626449804514]}";48.896264498, 2.32222070354
Propreté;Malpropreté du sol:Déchets divers épars;133 rue nationale ,75013 PARIS;75013;Paris 13;13.0;2012-08-14T04:00:00+02:00;2012;8;246.0;S;DPE;NATIONALE - DEUX MOULINS;159736;"{""type"": ""Point"", ""coordinates"": [2.36442999901149, 48.83003000296676]}";48.830030003, 2.36442999901
Objets abandonnés;Planches et palettes;15 rue albert bayet ,75013 PARIS;75013;Paris 13;13.0;2012-08-22T04:00:00+02:00;2012;8;354.0;S;Ramen en tant que prestataire de DansMaRue;NATIONALE - DEUX MOULINS;159738;"{""type"": ""Point"", ""coordinates"": [2.358520994858683, 48.83065399833836]}";48.8306539983, 2.35852099486
Propreté;Malpropreté du sol:Déchets divers épars;-26 rue dumeril ,75013 PARIS;75013;Paris 13;13.0;2012-08-28T04:00:00+02:00;2012;8;473.0;S;DPE;SALPETRIERE - AUSTERLITZ;159740;"{""type"": ""Point"", ""coordinates"": [2.358023004966418, 48.83664000057775]}";48.8366400006, 2.35802300497
Objets abandonnés;Planches et palettes;21 rue rennequin ,75017 PARIS;75017;Paris 17;17.0;2012-08-29T04:00:00+02:00;2012;8;516.0;S;Ramen en tant que prestataire de DansMaRue;COURCELLES - WAGRAM;159743;"{""type"": ""Point"", ""coordinates"": [2.298117000034069, 48.88162999925735]}";48.8816299993, 2.29811700003
Propreté;Malpropreté du sol:Autre;105-109 rue de tolbiac ,75013 PARIS;75013;Paris 13;13.0;2012-09-04T04:00:00+02:00;2012;9;78.0;S;DPE;OLYMPIADES - CHOISY;159747;"{""type"": ""Point"", ""coordinates"": [2.363831003964289, 48.82655999655594]}";48.8265599966, 2.36383100396
Objets abandonnés;Meubles et éléments de décoration;3 rue fernand cormon, 75017 PARIS;75017;Paris 17;17.0;2012-09-07T04:00:00+02:00;2012;9;135.0;S;Ramen en tant que prestataire de DansMaRue;CHAMPERRET - BERTHIER;159748;"{""type"": ""Point"", ""coordinates"": [2.302617197819203, 48.88991580070284]}";48.8899158007, 2.30261719782
Voirie et déplacements;Trottoirs:Bordure / caniveau endommagé;2-10 rue emile borel ,75017 PARIS;75017;Paris 17;17.0;2012-10-15T04:00:00+02:00;2012;10;331.0;S;DVD;EPINETTES - BESSIERES;159767;"{""type"": ""Point"", ""coordinates"": [2.322496002938645, 48.89896800144566]}";48.8989680014, 2.32249600294
Objets abandonnés;Meubles et éléments de décoration;45-47 avenue du maréchal fayolle ,75116 PARIS;75016;Paris 16;16.0;2012-10-24T04:00:00+02:00;2012;10;526.0;S;Ramen en tant que prestataire de DansMaRue;PORTE DAUPHINE;159769;"{""type"": ""Point"", ""coordinates"": [2.271107000562672, 48.868175995268274]}";48.8681759953, 2.27110700056
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;10 rue péclet ,75015 PARIS;75015;Paris 15;15.0;2012-10-25T04:00:00+02:00;2012;10;618.0;S;graffitis;SAINT-LAMBERT;159772;"{""type"": ""Point"", ""coordinates"": [2.298460994758999, 48.84271000047061]}";48.8427100005, 2.29846099476
Propreté;Malpropreté du sol:Déchets divers épars;20 rue courat ,75020 PARIS;75020;Paris 20;20.0;2012-10-26T04:00:00+02:00;2012;10;674.0;S;DPE;SAINT-BLAISE;159773;"{""type"": ""Point"", ""coordinates"": [2.405475998633601, 48.85730700259426]}";48.8573070026, 2.40547599863
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;17 rue galleron ,75020 PARIS;75020;Paris 20;20.0;2012-10-26T04:00:00+02:00;2012;10;667.0;S;graffitis;SAINT-BLAISE;159775;"{""type"": ""Point"", ""coordinates"": [2.4049080064131703, 48.8594060025759]}";48.8594060026, 2.40490800641
Objets abandonnés;Meubles et éléments de décoration;9-11 rue le vau ,75020 PARIS;75020;Paris 20;20.0;2012-10-31T02:00:00+01:00;2012;10;1113.0;S;Ramen en tant que prestataire de DansMaRue;GAMBETTA;159783;"{""type"": ""Point"", ""coordinates"": [2.410842998400759, 48.86678999702188]}";48.866789997, 2.4108429984
Objets abandonnés;Planches et palettes;28 rue mademoiselle ,75015 PARIS;75015;Paris 15;15.0;2012-10-31T02:00:00+01:00;2012;10;1312.0;S;Ramen en tant que prestataire de DansMaRue;VIOLET - COMMERCE;159787;"{""type"": ""Point"", ""coordinates"": [2.294364993305899, 48.843474997262106]}";48.8434749973, 2.29436499331
Propreté;Malpropreté du sol:Autre;10 rue huyghens ,75014 PARIS;75014;Paris 14;14.0;2012-11-01T02:00:00+01:00;2012;11;29.0;S;DPE;RASPAIL - MONTPARNASSE;159792;"{""type"": ""Point"", ""coordinates"": [2.328604002152414, 48.840789995149564]}";48.8407899951, 2.32860400215
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;10 rue du maine ,75014 PARIS;75014;Paris 14;14.0;2012-11-01T02:00:00+01:00;2012;11;13.0;S;graffitis;RASPAIL - MONTPARNASSE;159793;"{""type"": ""Point"", ""coordinates"": [2.323339000417364, 48.84062000088105]}";48.8406200009, 2.32333900042
Graffitis, tags, affiches et autocollants;Graffitis sur autres supports:Graffitis sur arbre;7-11 boulevard edgar quinet ,75014 PARIS;75014;Paris 14;14.0;2012-11-01T02:00:00+01:00;2012;11;33.0;S;DEVE-SAB;RASPAIL - MONTPARNASSE;159797;"{""type"": ""Point"", ""coordinates"": [2.326736993300821, 48.84051999865698]}";48.8405199987, 2.3267369933
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;2-4 rue de belfort ,75011 PARIS;75011;Paris 11;11.0;2012-11-05T02:00:00+01:00;2012;11;189.0;S;graffitis;LEON BLUM - FOLIE-REGNAULT;159798;"{""type"": ""Point"", ""coordinates"": [2.383241996707017, 48.85637299842746]}";48.8563729984, 2.38324199671
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;32 rue des 3 frères ,75018 PARIS;75018;Paris 18;18.0;2012-11-06T02:00:00+01:00;2012;11;448.0;S;graffitis;MONTMARTRE;159803;"{""type"": ""Point"", ""coordinates"": [2.339213002652998, 48.88532600089757]}";48.8853260009, 2.33921300265
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;12 boulevard saint-jacques ,75014 PARIS;75014;Paris 14;14.0;2012-11-06T02:00:00+01:00;2012;11;501.0;S;graffitis;RASPAIL - MONTPARNASSE;159804;"{""type"": ""Point"", ""coordinates"": [2.340086001201266, 48.832122997643104]}";48.8321229976, 2.3400860012
Objets abandonnés;Meubles et éléments de décoration;130 boulevard masséna ,75013 PARIS;75013;Paris 13;13.0;2012-08-17T04:00:00+02:00;2012;8;286.0;S;Ramen en tant que prestataire de DansMaRue;OLYMPIADES - CHOISY;159737;"{""type"": ""Point"", ""coordinates"": [2.364206998110422, 48.81957999714292]}";48.8195799971, 2.36420699811
Objets abandonnés;Équipements électriques et électroniques;1 rue de chazelles ,75017 PARIS;75017;Paris 17;17.0;2012-08-29T04:00:00+02:00;2012;8;499.0;S;Ramen en tant que prestataire de DansMaRue;COURCELLES - WAGRAM;159741;"{""type"": ""Point"", ""coordinates"": [2.303266002569081, 48.87936399726258]}";48.8793639973, 2.30326600257
Objets abandonnés;Meubles et éléments de décoration;1-5 rue d'austerlitz, 75012 PARIS;75012;Paris 12;12.0;2012-08-29T04:00:00+02:00;2012;8;518.0;S;Ramen en tant que prestataire de DansMaRue;ALIGRE - GARE DE LYON;159744;"{""type"": ""Point"", ""coordinates"": [2.369891298556908, 48.84655950162997]}";48.8465595016, 2.36989129856
Objets abandonnés;Meubles et éléments de décoration;2 passage legendre, 75017 PARIS;75017;Paris 17;17.0;2012-09-04T04:00:00+02:00;2012;9;25.0;S;Ramen en tant que prestataire de DansMaRue;LA FOURCHE - GUY MOQUET;159746;"{""type"": ""Point"", ""coordinates"": [2.326794296167245, 48.89160654864095]}";48.8916065486, 2.32679429617
Objets abandonnés;Équipements électriques et électroniques;32 boulevard de picpus, 75012 PARIS;75012;Paris 12;12.0;2012-09-11T04:00:00+02:00;2012;9;200.0;S;Ramen en tant que prestataire de DansMaRue;PICPUS NORD;159749;"{""type"": ""Point"", ""coordinates"": [2.394837000440336, 48.845880996083615]}";48.8458809961, 2.39483700044
Objets abandonnés;Objets entrant dans plusieurs catégories;48 avenue d'italie ,75013 PARIS;75013;Paris 13;13.0;2012-09-10T04:00:00+02:00;2012;9;169.0;S;Ramen en tant que prestataire de DansMaRue;PEUPLIERS - BRILLAT - RUNGIS;159751;"{""type"": ""Point"", ""coordinates"": [2.357286994427234, 48.825912000890014]}";48.8259120009, 2.35728699443
Objets abandonnés;Meubles et éléments de décoration;150 avenue d'italie ,75013 PARIS;75013;Paris 13;13.0;2012-09-12T04:00:00+02:00;2012;9;209.0;S;Ramen en tant que prestataire de DansMaRue;PEUPLIERS - BRILLAT - RUNGIS;159752;"{""type"": ""Point"", ""coordinates"": [2.359079002116164, 48.82040800294244]}";48.8204080029, 2.35907900212
Objets abandonnés;Objets entrant dans plusieurs catégories;216 rue de la convention ,75015 PARIS;75015;Paris 15;15.0;2012-09-26T04:00:00+02:00;2012;9;671.0;S;Ramen en tant que prestataire de DansMaRue;GEORGES BRASSENS;159756;"{""type"": ""Point"", ""coordinates"": [2.298424993992855, 48.83648700244952]}";48.8364870024, 2.29842499399
Voirie et déplacements;Trottoirs:Revêtement manquant;16 cité de trévise ,75009 PARIS;75009;Paris 9;9.0;2012-10-02T04:00:00+02:00;2012;10;68.0;S;DVD;LA FAYETTE - RICHER;159758;"{""type"": ""Point"", ""coordinates"": [2.347096001731619, 48.874915999743315]}";48.8749159997, 2.34709600173
Objets abandonnés;Planches et palettes;32 avenue raymond poincaré ,75116 PARIS;75016;Paris 16;16.0;2012-10-03T04:00:00+02:00;2012;10;124.0;S;Ramen en tant que prestataire de DansMaRue;PORTE DAUPHINE;159760;"{""type"": ""Point"", ""coordinates"": [2.2863490033926, 48.86541699938213]}";48.8654169994, 2.28634900339
Objets abandonnés;Planches et palettes;14 rue jean ferrandi ,75006 PARIS;75006;Paris 6;6.0;2012-10-03T04:00:00+02:00;2012;10;120.0;S;Ramen en tant que prestataire de DansMaRue;SAINT-PLACIDE;159762;"{""type"": ""Point"", ""coordinates"": [2.323391994876079, 48.84681299964221]}";48.8468129996, 2.32339199488
Objets abandonnés;Meubles et éléments de décoration;103 rue de l'abbé groult ,75015 PARIS;75015;Paris 15;15.0;2012-10-08T04:00:00+02:00;2012;10;224.0;S;Ramen en tant que prestataire de DansMaRue;ALLERAY - PROCESSION;159764;"{""type"": ""Point"", ""coordinates"": [2.299845003738823, 48.83751999549449]}";48.8375199955, 2.29984500374
Objets abandonnés;Meubles et éléments de décoration;180 rue de javel ,75015 PARIS;75015;Paris 15;15.0;2012-10-08T04:00:00+02:00;2012;10;214.0;S;Ramen en tant que prestataire de DansMaRue;SAINT-LAMBERT;159765;"{""type"": ""Point"", ""coordinates"": [2.291776998606684, 48.84048999691736]}";48.8404899969, 2.29177699861
Voirie et déplacements;Chaussées:Affaissement, trou, bosse, pavé arraché;23 rue des montiboeufs ,75020 PARIS;75020;Paris 20;20.0;2012-10-25T04:00:00+02:00;2012;10;587.0;S;DVD;GAMBETTA;159771;"{""type"": ""Point"", ""coordinates"": [2.403928995315797, 48.866946998468194]}";48.8669469985, 2.40392899532
Objets abandonnés;Meubles et éléments de décoration;9-17 rue étienne marey ,75020 PARIS;75020;Paris 20;20.0;2012-10-25T04:00:00+02:00;2012;10;589.0;S;Ramen en tant que prestataire de DansMaRue;GAMBETTA;159774;"{""type"": ""Point"", ""coordinates"": [2.405788005312727, 48.86722000015889]}";48.8672200002, 2.40578800531
